track_id,track_name,track_artist,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,energy,tempo,danceability,loudness,liveness,valence,speechiness,acousticness,instrumentalness,track_popularity,duration_ms,mode,key,time_signature,release_year,release_month,release_quarter,playlist_specified_genre
6Up545NUflOiXo8cEraH49,You Say,Lauren Daigle,Look Up Child,2018-09-01,pop,soft,0.632,147.873,0.494,-6.89,0.0869,0.0797,0.0342,0.682,0.0,72,274693,1,5,4,2018,9,3,pop_soft
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),2019-10-01,pop,soft,0.473,75.801,0.464,-10.086,0.109,0.604,0.129,0.866,0.0,72,208687,1,1,4,2019,10,4,pop_soft
4JehYebiI9JE8sR8MisGVb,Halo,Beyoncé,I AM...SASHA FIERCE,2008-11-01,blues,soft,0.72,79.983,0.508,-5.908,0.0563,0.472,0.0628,0.272,0.0,71,261640,0,11,4,2008,11,4,blues_soft
7a86XRg84qjasly9f6bPSD,We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",Some Nights,2012-02-01,pop,soft,0.638,184.086,0.378,-5.576,0.0849,0.735,0.075,0.02,7.66e-05,71,250627,1,10,4,2012,2,1,pop_soft
6IwKcFdiRQZOWeYNhUiWIv,No One,Alicia Keys,As I Am (Expanded Edition),2007-11-01,blues,soft,0.549,90.04,0.644,-5.415,0.134,0.167,0.0285,0.0209,8.85e-06,71,253813,0,1,4,2007,11,4,blues_soft
30FURVTCpbKyykjSEQzGkH,Back To Black,Amy Winehouse,Back To Black,2006-10-01,pop,soft,0.725,123.28,0.49,-3.304,0.0983,0.335,0.0392,0.123,2.68e-05,70,240440,1,10,4,2006,10,4,pop_soft
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",2019-10-01,pop,soft,0.63,89.991,0.654,-4.644,0.111,0.43,0.0259,0.153,0.0,70,167693,1,10,4,2019,10,4,pop_soft
0tV8pOpiNsKqUys0ilUcXz,Rise Up,Andra Day,Cheers to the Fall,2015-08-01,pop,soft,0.316,118.582,0.398,-7.031,0.295,0.174,0.0368,0.805,0.0,70,253342,1,1,4,2015,8,3,pop_soft
6yARPLK0PV4heEyh7pVMGz,Part Of Me,Katy Perry,Teenage Dream: The Complete Confection,2012-01-01,pop,soft,0.922,130.007,0.666,-4.645,0.0867,0.758,0.0352,0.000348,0.0,70,216160,1,5,4,2012,1,1,pop_soft
0HZhYMZOcUzZKSFwPOti6m,jar of hearts,Christina Perri,lovestrong.,2011-05-01,pop,soft,0.348,74.541,0.349,-6.142,0.12,0.0886,0.0316,0.726,0.0,69,246587,1,3,4,2011,5,2,pop_soft
2s1sdSqGcKxpPr5lCl7jAV,Chandelier,Sia,1000 Forms Of Fear (Deluxe Version),2015-05-01,pop,soft,0.787,117.089,0.399,-2.88,0.0685,0.572,0.0499,0.0197,6.07e-05,69,216120,1,1,5,2015,5,2,pop_soft
50Td3qilgs8BLtv8mHyT1t,Control,Zoe Wees,Control,2020-03-01,pop,soft,0.465,113.81,0.6,-4.951,0.149,0.0682,0.0314,0.643,1.48e-06,69,230880,1,4,4,2020,3,1,pop_soft
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",Starboy,2016-11-01,pop,throwback,0.587,186.003,0.679,-7.015,0.137,0.486,0.276,0.141,6.35e-06,87,230453,1,7,4,2016,11,4,pop_throwback
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,The Eminem Show,2002-05-01,pop,throwback,0.669,112.238,0.908,-2.827,0.237,0.662,0.0738,0.00286,0.0,86,290320,1,7,4,2002,5,2,pop_throwback
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,Hunting High and Low,1985-06-01,pop,throwback,0.902,84.412,0.573,-7.638,0.0928,0.876,0.054,0.018,0.00125,84,225280,0,6,4,1985,6,2,pop_throwback
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-01,pop,throwback,0.824,100.024,0.778,-5.892,0.405,0.758,0.0707,0.284,0.0,84,218093,0,10,4,2005,11,4,pop_throwback
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",Confessions (Expanded Edition),2004-03-01,pop,throwback,0.791,105.018,0.894,-4.699,0.0388,0.583,0.112,0.0183,0.0,84,250373,1,2,4,2004,3,1,pop_throwback
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,TALKING IS HARD,2014-12-01,pop,throwback,0.866,128.038,0.578,-3.804,0.257,0.619,0.0619,0.00701,0.0,83,199080,1,1,4,2014,12,4,pop_throwback
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,Slippery When Wet,1986-08-01,pop,throwback,0.887,122.509,0.532,-3.757,0.294,0.794,0.0335,0.0778,0.000206,83,249293,1,0,4,1986,8,3,pop_throwback
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,True,2013-01-01,pop,throwback,0.783,124.08,0.532,-5.697,0.161,0.643,0.0523,0.0038,0.0012,83,247427,1,2,4,2013,1,1,pop_throwback
6I9VzXrHxO9rA9A5euc8Ak,Toxic,Britney Spears,In The Zone,2003-11-01,pop,throwback,0.838,143.04,0.774,-3.914,0.242,0.924,0.114,0.0249,0.025,83,198800,0,5,4,2003,11,4,pop_throwback
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics, Annie Lennox, Dave Stewart",Sweet Dreams (Are Made Of This),1983-01-01,pop,throwback,0.711,125.135,0.692,-7.498,0.12,0.875,0.0317,0.225,0.0,83,216933,0,0,4,1983,1,1,pop_throwback
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,Animal (Expanded Edition),2010-01-01,pop,throwback,0.837,120.028,0.755,-2.718,0.289,0.714,0.142,0.0991,0.0,83,199693,0,2,4,2010,1,1,pop_throwback
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,Purpose (Deluxe),2015-11-01,pop,throwback,0.76,99.947,0.655,-3.669,0.299,0.409,0.045,0.0797,0.0,83,200787,0,0,4,2015,11,4,pop_throwback
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,ABBA,Arrival,1976-12-01,pop,throwback,0.87,100.804,0.543,-6.514,0.792,0.754,0.0428,0.358,0.000939,82,230400,1,9,4,1976,12,4,pop_throwback
2bLqfJjuC5syrsgDsZfGmn,The Way I Are,"Timbaland, Keri Hilson, D.O.E.",Shock Value,2007-01-01,pop,throwback,0.807,114.742,0.729,-6.492,0.319,0.765,0.0936,0.181,0.75,82,179120,1,6,4,2007,1,1,pop_throwback
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",Raymond v Raymond (Expanded Edition),2010-03-01,pop,throwback,0.861,119.963,0.663,-3.398,0.082,0.654,0.109,0.0338,0.0,81,220800,0,7,4,2010,3,1,pop_throwback
3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version),1999-01-01,pop,throwback,0.699,92.96,0.759,-5.745,0.443,0.907,0.0307,0.202,0.000131,81,211067,0,0,4,1999,1,1,pop_throwback
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,Stankonia,2000-10-01,pop,throwback,0.806,94.948,0.843,-5.946,0.0771,0.613,0.269,0.143,0.0,81,270507,0,4,4,2000,10,4,pop_throwback
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,The Fame,2008-01-01,pop,throwback,0.806,119.001,0.851,-4.618,0.121,0.774,0.0787,0.119,1.72e-06,81,237200,1,4,4,2008,1,1,pop_throwback
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,"Pitbull, Ne-Yo",Globalization,2014-11-01,pop,throwback,0.802,124.022,0.721,-5.797,0.694,0.724,0.0583,0.0921,0.0,82,229360,1,1,4,2014,11,4,pop_throwback
2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney,1987-06-01,pop,throwback,0.824,118.818,0.709,-8.824,0.0888,0.867,0.0453,0.207,0.000307,81,291293,1,1,4,1987,6,2,pop_throwback
